Numer of labeled samples:14091   AUC:0.955
Numer of labeled samples:14943   AUC:0.953
Numer of labeled samples:15485   AUC:0.969
Numer of labeled samples:14720   AUC:0.965
Numer of labeled samples:14859   AUC:0.970
Numer of labeled samples:15178   AUC:0.966
Numer of labeled samples:15106   AUC:0.970
Numer of labeled samples:15077   AUC:0.974
Numer of labeled samples:15266   AUC:0.967
Numer of labeled samples:15160   AUC:0.967
Numer of labeled samples:15037   AUC:0.966
Numer of labeled samples:15073   AUC:0.966
Numer of labeled samples:15109   AUC:0.966
Numer of labeled samples:15094   AUC:0.969
Numer of labeled samples:15165   AUC:0.964
Numer of labeled samples:15072   AUC:0.966
Numer of labeled samples:15261   AUC:0.968
Numer of labeled samples:15200   AUC:0.971
Numer of labeled samples:15322   AUC:0.964
Numer of labeled samples:15107   AUC:0.968
Numer of labeled samples:15250   AUC:0.973
Numer of labeled samples:15454   AUC:0.967
Numer of labeled samples:15082   AUC:0.971
Numer of labeled samples:15118   AUC:0.972
Numer of labeled samples:15101   AUC:0.967
Numer of labeled samples:15394   AUC:0.974
Numer of labeled samples:15247   AUC:0.973
Numer of labeled samples:15179   AUC:0.974
Numer of labeled samples:15233   AUC:0.968
Numer of labeled samples:15169   AUC:0.975
Numer of labeled samples:15258   AUC:0.963
Numer of labeled samples:15466   AUC:0.969
Numer of labeled samples:15207   AUC:0.974
Numer of labeled samples:15301   AUC:0.976
Numer of labeled samples:15279   AUC:0.976
Numer of labeled samples:15266   AUC:0.974
Numer of labeled samples:15196   AUC:0.974
Numer of labeled samples:15234   AUC:0.978
Numer of labeled samples:15319   AUC:0.975
Numer of labeled samples:15314   AUC:0.976
Numer of labeled samples:15309   AUC:0.981
Numer of labeled samples:15294   AUC:0.978
Numer of labeled samples:15370   AUC:0.980
Numer of labeled samples:15437   AUC:0.980
Numer of labeled samples:15358   AUC:0.980
Numer of labeled samples:15332   AUC:0.981
Numer of labeled samples:15416   AUC:0.979
Numer of labeled samples:15450   AUC:0.978
Numer of labeled samples:15623   AUC:0.972
Numer of labeled samples:15585   AUC:0.975
Numer of labeled samples:15472   AUC:0.978
Numer of labeled samples:15359   AUC:0.976
Numer of labeled samples:15352   AUC:0.982
Numer of labeled samples:15542   AUC:0.968
Numer of labeled samples:15583   AUC:0.970
Numer of labeled samples:15421   AUC:0.979
Numer of labeled samples:15455   AUC:0.982
Numer of labeled samples:15638   AUC:0.970
Numer of labeled samples:15722   AUC:0.976
Numer of labeled samples:15580   AUC:0.981
Numer of labeled samples:15534   AUC:0.976
Numer of labeled samples:15482   AUC:0.980
Numer of labeled samples:15634   AUC:0.981
Numer of labeled samples:15657   AUC:0.982
Numer of labeled samples:15785   AUC:0.983
Numer of labeled samples:15629   AUC:0.976
Numer of labeled samples:15742   AUC:0.976
Numer of labeled samples:15660   AUC:0.977
Numer of labeled samples:15750   AUC:0.980
Numer of labeled samples:15689   AUC:0.973
Numer of labeled samples:15647   AUC:0.973
Numer of labeled samples:15628   AUC:0.971
Numer of labeled samples:15661   AUC:0.981
Numer of labeled samples:15577   AUC:0.980
Numer of labeled samples:15647   AUC:0.976
Numer of labeled samples:15570   AUC:0.973
Numer of labeled samples:15656   AUC:0.977
Numer of labeled samples:15619   AUC:0.980
Numer of labeled samples:15750   AUC:0.970
Numer of labeled samples:15674   AUC:0.973
Numer of labeled samples:15652   AUC:0.971
Numer of labeled samples:15566   AUC:0.978
Numer of labeled samples:15628   AUC:0.975
Numer of labeled samples:15574   AUC:0.977
Numer of labeled samples:15770   AUC:0.974
Numer of labeled samples:15646   AUC:0.975
Numer of labeled samples:15670   AUC:0.971
Numer of labeled samples:15636   AUC:0.979
Numer of labeled samples:15757   AUC:0.980
Numer of labeled samples:15761   AUC:0.983
Numer of labeled samples:15702   AUC:0.982
Numer of labeled samples:15642   AUC:0.974
Numer of labeled samples:15821   AUC:0.978
Numer of labeled samples:15664   AUC:0.974
Numer of labeled samples:15688   AUC:0.980
Numer of labeled samples:15854   AUC:0.972
Numer of labeled samples:15649   AUC:0.971
Numer of labeled samples:15596   AUC:0.971
Numer of labeled samples:15757   AUC:0.973
Numer of labeled samples:15682   AUC:0.974
Numer of labeled samples:15679   AUC:0.979
Numer of labeled samples:15633   AUC:0.983
Numer of labeled samples:15692   AUC:0.977
Numer of labeled samples:15633   AUC:0.974
Numer of labeled samples:15721   AUC:0.971
Numer of labeled samples:15627   AUC:0.973
Numer of labeled samples:15672   AUC:0.972
Numer of labeled samples:15665   AUC:0.969
Numer of labeled samples:15710   AUC:0.975
Numer of labeled samples:15602   AUC:0.972
Numer of labeled samples:15685   AUC:0.969
Numer of labeled samples:15576   AUC:0.979
Numer of labeled samples:15704   AUC:0.974
Numer of labeled samples:15723   AUC:0.977
Numer of labeled samples:15759   AUC:0.976
Numer of labeled samples:15613   AUC:0.981
Numer of labeled samples:15726   AUC:0.974
Numer of labeled samples:15660   AUC:0.977
Numer of labeled samples:15695   AUC:0.972
Numer of labeled samples:15642   AUC:0.976
Numer of labeled samples:15668   AUC:0.978
Numer of labeled samples:15696   AUC:0.979
Numer of labeled samples:15670   AUC:0.973
Numer of labeled samples:15699   AUC:0.972
Numer of labeled samples:15678   AUC:0.969
Numer of labeled samples:15664   AUC:0.984
Numer of labeled samples:15749   AUC:0.970
Numer of labeled samples:15697   AUC:0.972
Numer of labeled samples:15763   AUC:0.975
Numer of labeled samples:15761   AUC:0.978
Numer of labeled samples:15766   AUC:0.971
Numer of labeled samples:15691   AUC:0.972
Numer of labeled samples:15640   AUC:0.973
Numer of labeled samples:15585   AUC:0.970
Numer of labeled samples:15739   AUC:0.983
Numer of labeled samples:15698   AUC:0.978
Numer of labeled samples:15726   AUC:0.969
Numer of labeled samples:15636   AUC:0.973
Numer of labeled samples:15809   AUC:0.979
Numer of labeled samples:15661   AUC:0.983
Numer of labeled samples:15684   AUC:0.973
Numer of labeled samples:15678   AUC:0.988
Numer of labeled samples:15698   AUC:0.977
Numer of labeled samples:15650   AUC:0.981
Numer of labeled samples:15715   AUC:0.980
Numer of labeled samples:15721   AUC:0.985
Numer of labeled samples:15733   AUC:0.979
Numer of labeled samples:15751   AUC:0.987
Numer of labeled samples:15701   AUC:0.977
Numer of labeled samples:15632   AUC:0.982
Numer of labeled samples:15700   AUC:0.982
Numer of labeled samples:15698   AUC:0.975
Numer of labeled samples:15783   AUC:0.971
Numer of labeled samples:15721   AUC:0.980
Numer of labeled samples:15782   AUC:0.990
Numer of labeled samples:15728   AUC:0.978
Numer of labeled samples:15771   AUC:0.982
Numer of labeled samples:15677   AUC:0.984
Numer of labeled samples:15766   AUC:0.971
Numer of labeled samples:15647   AUC:0.984
Numer of labeled samples:15664   AUC:0.980
Numer of labeled samples:15692   AUC:0.982
Numer of labeled samples:15745   AUC:0.971
Numer of labeled samples:15652   AUC:0.970
Numer of labeled samples:15698   AUC:0.975
Numer of labeled samples:15717   AUC:0.975
Numer of labeled samples:15685   AUC:0.977
