Numer of labeled samples:9472   AUC:0.855
Numer of labeled samples:9083   AUC:0.854
Numer of labeled samples:15816   AUC:0.882
Numer of labeled samples:15464   AUC:0.876
Numer of labeled samples:17639   AUC:0.885
Numer of labeled samples:17115   AUC:0.885
Numer of labeled samples:18569   AUC:0.888
Numer of labeled samples:18558   AUC:0.888
Numer of labeled samples:19262   AUC:0.889
Numer of labeled samples:19457   AUC:0.889
Numer of labeled samples:19972   AUC:0.889
Numer of labeled samples:20091   AUC:0.891
Numer of labeled samples:20268   AUC:0.886
Numer of labeled samples:20671   AUC:0.889
Numer of labeled samples:20860   AUC:0.889
Numer of labeled samples:21012   AUC:0.890
Numer of labeled samples:21125   AUC:0.889
Numer of labeled samples:20854   AUC:0.889
Numer of labeled samples:21483   AUC:0.891
Numer of labeled samples:20895   AUC:0.891
Numer of labeled samples:21707   AUC:0.890
Numer of labeled samples:21243   AUC:0.889
Numer of labeled samples:21572   AUC:0.889
Numer of labeled samples:21400   AUC:0.890
Numer of labeled samples:21592   AUC:0.887
Numer of labeled samples:21513   AUC:0.891
Numer of labeled samples:21436   AUC:0.887
Numer of labeled samples:21617   AUC:0.890
Numer of labeled samples:21438   AUC:0.886
Numer of labeled samples:21703   AUC:0.888
Numer of labeled samples:21046   AUC:0.888
Numer of labeled samples:21460   AUC:0.886
Numer of labeled samples:20911   AUC:0.887
Numer of labeled samples:20877   AUC:0.888
Numer of labeled samples:20439   AUC:0.890
Numer of labeled samples:20563   AUC:0.888
Numer of labeled samples:20378   AUC:0.889
Numer of labeled samples:20554   AUC:0.889
Numer of labeled samples:20114   AUC:0.891
Numer of labeled samples:20320   AUC:0.887
Numer of labeled samples:20025   AUC:0.890
Numer of labeled samples:20168   AUC:0.889
Numer of labeled samples:20693   AUC:0.894
Numer of labeled samples:20937   AUC:0.883
Numer of labeled samples:20398   AUC:0.888
Numer of labeled samples:21307   AUC:0.886
Numer of labeled samples:21443   AUC:0.889
Numer of labeled samples:20322   AUC:0.881
Numer of labeled samples:20346   AUC:0.891
Numer of labeled samples:21084   AUC:0.886
Numer of labeled samples:20389   AUC:0.894
Numer of labeled samples:19626   AUC:0.902
Numer of labeled samples:20398   AUC:0.899
Numer of labeled samples:20341   AUC:0.897
Numer of labeled samples:20233   AUC:0.894
Numer of labeled samples:20680   AUC:0.896
Numer of labeled samples:19701   AUC:0.904
Numer of labeled samples:20713   AUC:0.897
Numer of labeled samples:20127   AUC:0.901
Numer of labeled samples:20076   AUC:0.898
Numer of labeled samples:20021   AUC:0.902
Numer of labeled samples:20901   AUC:0.902
Numer of labeled samples:20553   AUC:0.901
Numer of labeled samples:19508   AUC:0.897
Numer of labeled samples:20160   AUC:0.899
Numer of labeled samples:20187   AUC:0.905
Numer of labeled samples:19511   AUC:0.903
Numer of labeled samples:19511   AUC:0.898
Numer of labeled samples:19466   AUC:0.895
Numer of labeled samples:19398   AUC:0.899
Numer of labeled samples:19865   AUC:0.902
Numer of labeled samples:19736   AUC:0.891
Numer of labeled samples:19654   AUC:0.898
Numer of labeled samples:19538   AUC:0.897
Numer of labeled samples:19941   AUC:0.899
Numer of labeled samples:19788   AUC:0.900
Numer of labeled samples:19391   AUC:0.900
Numer of labeled samples:19470   AUC:0.894
Numer of labeled samples:19392   AUC:0.893
Numer of labeled samples:18446   AUC:0.902
Numer of labeled samples:19045   AUC:0.896
Numer of labeled samples:19589   AUC:0.893
Numer of labeled samples:20008   AUC:0.900
Numer of labeled samples:19248   AUC:0.897
Numer of labeled samples:19765   AUC:0.900
Numer of labeled samples:20330   AUC:0.898
Numer of labeled samples:19117   AUC:0.907
Numer of labeled samples:19475   AUC:0.901
Numer of labeled samples:18969   AUC:0.909
Numer of labeled samples:18441   AUC:0.911
Numer of labeled samples:19151   AUC:0.913
Numer of labeled samples:18991   AUC:0.900
Numer of labeled samples:18631   AUC:0.908
Numer of labeled samples:18579   AUC:0.913
Numer of labeled samples:19284   AUC:0.910
Numer of labeled samples:18478   AUC:0.911
Numer of labeled samples:18402   AUC:0.902
Numer of labeled samples:18028   AUC:0.910
Numer of labeled samples:18286   AUC:0.906
Numer of labeled samples:18327   AUC:0.901
Numer of labeled samples:18346   AUC:0.907
Numer of labeled samples:17676   AUC:0.906
Numer of labeled samples:17629   AUC:0.917
Numer of labeled samples:17991   AUC:0.905
Numer of labeled samples:18455   AUC:0.906
Numer of labeled samples:17848   AUC:0.910
Numer of labeled samples:17612   AUC:0.911
Numer of labeled samples:18276   AUC:0.902
Numer of labeled samples:18618   AUC:0.904
Numer of labeled samples:17964   AUC:0.910
Numer of labeled samples:17701   AUC:0.912
Numer of labeled samples:19016   AUC:0.903
Numer of labeled samples:18613   AUC:0.913
Numer of labeled samples:16953   AUC:0.910
Numer of labeled samples:18015   AUC:0.910
Numer of labeled samples:17705   AUC:0.903
Numer of labeled samples:18482   AUC:0.903
Numer of labeled samples:17834   AUC:0.906
Numer of labeled samples:17431   AUC:0.909
Numer of labeled samples:18440   AUC:0.904
Numer of labeled samples:18661   AUC:0.904
Numer of labeled samples:17404   AUC:0.914
Numer of labeled samples:16541   AUC:0.914
Numer of labeled samples:17957   AUC:0.911
Numer of labeled samples:17967   AUC:0.908
Numer of labeled samples:17540   AUC:0.916
Numer of labeled samples:17016   AUC:0.917
