Validation Epoch:0      Acc1:68.97  Acc2:69.43
Validation Epoch:1      Acc1:64.70  Acc2:66.49
Validation Epoch:2      Acc1:64.79  Acc2:64.66
Validation Epoch:3      Acc1:65.25  Acc2:67.22
Validation Epoch:4      Acc1:66.46  Acc2:66.74
Validation Epoch:5      Acc1:68.82  Acc2:68.79
Validation Epoch:6      Acc1:69.26  Acc2:69.31
Validation Epoch:7      Acc1:70.24  Acc2:69.23
Validation Epoch:8      Acc1:69.51  Acc2:70.17
Validation Epoch:9      Acc1:70.19  Acc2:70.19
Validation Epoch:10      Acc1:70.79  Acc2:69.92
Validation Epoch:11      Acc1:70.89  Acc2:71.20
Validation Epoch:12      Acc1:71.79  Acc2:70.76
Validation Epoch:13      Acc1:71.95  Acc2:71.46
Validation Epoch:14      Acc1:70.26  Acc2:71.43
Validation Epoch:15      Acc1:71.81  Acc2:71.52
Validation Epoch:16      Acc1:72.37  Acc2:71.93
Validation Epoch:17      Acc1:71.73  Acc2:72.44
Validation Epoch:18      Acc1:72.07  Acc2:72.35
Validation Epoch:19      Acc1:71.95  Acc2:72.29
Validation Epoch:20      Acc1:72.68  Acc2:72.52
Validation Epoch:21      Acc1:73.19  Acc2:73.02
Validation Epoch:22      Acc1:72.62  Acc2:73.37
Validation Epoch:23      Acc1:73.02  Acc2:73.05
Validation Epoch:24      Acc1:72.81  Acc2:72.32
Validation Epoch:25      Acc1:72.30  Acc2:71.63
Validation Epoch:26      Acc1:72.37  Acc2:72.85
Validation Epoch:27      Acc1:72.65  Acc2:73.07
Validation Epoch:28      Acc1:73.44  Acc2:72.76
Validation Epoch:29      Acc1:72.42  Acc2:73.40
Validation Epoch:30      Acc1:72.36  Acc2:72.80
Validation Epoch:31      Acc1:71.96  Acc2:72.80
Validation Epoch:32      Acc1:72.10  Acc2:72.49
Validation Epoch:33      Acc1:72.24  Acc2:72.06
Validation Epoch:34      Acc1:71.95  Acc2:72.04
Validation Epoch:35      Acc1:73.14  Acc2:72.63
Validation Epoch:36      Acc1:72.51  Acc2:72.85
Validation Epoch:37      Acc1:72.42  Acc2:72.71
Validation Epoch:38      Acc1:72.88  Acc2:72.80
Validation Epoch:39      Acc1:72.35  Acc2:71.98
Validation Epoch:40      Acc1:73.35  Acc2:73.68
Validation Epoch:41      Acc1:73.97  Acc2:74.16
Validation Epoch:42      Acc1:74.48  Acc2:74.40
Validation Epoch:43      Acc1:74.53  Acc2:74.07
Validation Epoch:44      Acc1:74.32  Acc2:74.35
Validation Epoch:45      Acc1:74.55  Acc2:74.17
Validation Epoch:46      Acc1:74.65  Acc2:74.30
Validation Epoch:47      Acc1:74.46  Acc2:74.47
Validation Epoch:48      Acc1:74.47  Acc2:74.34
Validation Epoch:49      Acc1:74.76  Acc2:74.33
Validation Epoch:50      Acc1:74.55  Acc2:74.33
Validation Epoch:51      Acc1:74.59  Acc2:74.45
Validation Epoch:52      Acc1:74.46  Acc2:74.39
Validation Epoch:53      Acc1:74.46  Acc2:74.37
Validation Epoch:54      Acc1:74.53  Acc2:74.22
Validation Epoch:55      Acc1:74.83  Acc2:74.17
Validation Epoch:56      Acc1:74.80  Acc2:74.75
Validation Epoch:57      Acc1:74.90  Acc2:74.58
Validation Epoch:58      Acc1:74.83  Acc2:74.73
Validation Epoch:59      Acc1:74.67  Acc2:74.74
Validation Epoch:60      Acc1:74.72  Acc2:74.60
Validation Epoch:61      Acc1:74.82  Acc2:74.68
Validation Epoch:62      Acc1:74.75  Acc2:74.60
Validation Epoch:63      Acc1:74.51  Acc2:74.35
Validation Epoch:64      Acc1:74.80  Acc2:74.67
Validation Epoch:65      Acc1:74.48  Acc2:74.55
Validation Epoch:66      Acc1:74.71  Acc2:74.47
Validation Epoch:67      Acc1:74.66  Acc2:74.55
Validation Epoch:68      Acc1:74.66  Acc2:75.08
Validation Epoch:69      Acc1:74.86  Acc2:74.77
Validation Epoch:70      Acc1:74.68  Acc2:74.65
Validation Epoch:71      Acc1:74.62  Acc2:74.56
Validation Epoch:72      Acc1:74.63  Acc2:74.50
Validation Epoch:73      Acc1:74.59  Acc2:74.83
Validation Epoch:74      Acc1:74.81  Acc2:74.73
Validation Epoch:75      Acc1:74.90  Acc2:74.63
Validation Epoch:76      Acc1:74.59  Acc2:74.66
Validation Epoch:77      Acc1:74.63  Acc2:74.44
Validation Epoch:78      Acc1:74.95  Acc2:74.47
Validation Epoch:79      Acc1:74.81  Acc2:74.65
Validation Epoch:80      Acc1:74.81  Acc2:74.76
Test Accuracy:75.01
